#Deutsch	Furigana	Romaji	Type	Baseform	Romaji  
Komödien mag ich nicht wirklich.	コメディ は ちょっと。	Komedi wa chotto.	Beispielsatz		
Ich mag romantische TV-Dramen.	恋[れん]愛[あい] ドラマ が 好[す]き です。	Renai dorama ga suki desu.	Beispielsatz		
Wirklich? / Ist es wahr?	本[ほん]当[とう] です か。	Hontou desu ka.	Beispielsatz		
Ich mache auch Karate!	私[わたし] も 空[から]手[て] を します！	Watashi mo karate o shimasu!	Beispielsatz		
Am Wochenende spiele ich romantische Videospiele.	週[しゅう]末[まつ] は 恋[れん]愛[あい] ゲーム を します。	Shuumatsu wa renai geemu o shimasu.	Beispielsatz		
Schauen Sie kanadische Action-Filme?	カナダ の アクション 映[えい]画[が] を 見[み]ます か。	Kanada no akushon eiga o mi mimasu ka.	Beispielsatz		
Ich schaue jede Woche Action-Filme.	毎[まい]週[しゅう] アクション 映[えい]画[が] を 見[み]ます。	Maishuu akushon eiga o mimasu.	Beispielsatz		
Ich spiele oft chinesische Fantasy-Videospiele.	よく 中[ちゅう]国[ごく] の ファンタジー ゲーム を します。	Yoku chuugoku no fantajii geemu o shimasu.	Beispielsatz		
Mögen Sie koreanische Liebes-Dramen?	韓[かん]国[こく] の 恋[れん]愛[あい] ドラマ が 好[す]き です か。	Kankoku no renai dorama ga suki desu ka.	Beispielsatz		
Mein Freund lebt auch in Vietnam.	私[わたし]の 友[とも]達[だち] も ベトナム に 住[す]んで います。	Watashi no tomodachi mo Betonamu ni sundeimasu.	Beispielsatz		
Ich werde morgen ein neues Horror-Videospiel kaufen.	明[あ]日[した] 新[あたら]しい ホラー ゲーム を 買[か]います。	Ashita atarashii horaa geemu o kaimasu.	Beispielsatz		
Guten Tag, mein Name ist Ken Tanaka.	こんにちは、 田[た]中[なか] けん と 言[い]います。	Konnichi wa, Tanaka Ken to iimasu.	Beispielsatz		
Wann stehst du auf?	何[なん]時[じ] に 起[お]きます か。	Nanji ni okimasu ka.	Beispielsatz		
Ich lese immer um neun Uhr die Zeitung.	いつも 九[く]時[じ] に 新聞[しんぶん] を 読[よ]みます。	Itsumo ku ji ni shinbun o yomimasu.	Beispielsatz		
Ich höre jeden Tag Radio.	毎[まい]日[にち] ラジオ を 聞[き]きます。	Mainichi rajio o kikimasu.	Beispielsatz		
Ich mache jeden Tag gegen 8 Uhr 30 Frühstück.	毎[まい]日[にち] 八[はち] 時[じ] 半[はん] ごろ 朝[あさ]ご 飯[はん] を 作[つく]ります。	Mainichi hachi ji han goro asagohan o tsukurimasu.	Beispielsatz		
Ich werde nächste Woche ein neues Smartphone kaufen.	来[らい]週[しゅう] 新[あたら]しい スマホ を 買[か]います。	Raishuu atarashii sumaho o kaimasu.	Beispielsatz		
Dieses Haus ist alt, nicht wahr?	この 家[いえ] は 古[ふる]い です ね。	Kono ie wa furui desu ne.	Beispielsatz		
Ich ziehe morgen um.	明[あ]日[した] 引[ひ]っ 越[こ]します。	Ashita hikkoshimasu.	Beispielsatz		
Es ist sehr geräumig.	とても 広[ひろ]い です。	Totemo hiroi desu.	Beispielsatz		
Ist die Wohnung alt?	アパート は 古[ふる]い です か。	Apaato wa furui desu ka.	Beispielsatz		
Das neue Apartment ist geräumig.	新[あたら]しい アパート は 広[ひろ]い です。	Atarashii apaato wa hiroi desu.	Beispielsatz		
Lebst du jetzt in einer Wohnung?	今[いま] アパート に 住[す]んで います か。	Ima apaato ni sundeimasu ka.	Beispielsatz		
Ich lebe immer noch in Tokio.	まだ 東[とう]京[きょう] に 住[す]んで います。	Mada Toukyou ni sundeimasu.	Beispielsatz		
Lebst du noch in Toronto?	まだ トロント に 住[す]んで います か。	Mada Toronto ni sundeimasu ka.	Beispielsatz		
Ich habe eine geräumige Küche.	広[ひろ]い キッチン が あります。	Hiroi kitchin ga arimasu.	Beispielsatz		
Es ist sehr hell.	とても 明[あか]るい です。	Totemo akarui desu.	Beispielsatz		
Dieses Haus ist hell, nicht wahr?	この 家[いえ] は 明[あか]るい です ね。	Kono ie wa akarui desu ne.	Beispielsatz		
Ich möchte eine helle Küche.	明[あか]るい キッチン が 欲[ほ]しい です。	Akarui kitchin ga hoshii desu.	Beispielsatz		
Ich habe ein enges Wohnzimmer.	狭[せま]い リビング が あります。	Semai ribingu ga arimasu.	Beispielsatz		
Ich habe immer noch kein Bett.	まだ ベッド は ありません。	Mada beddo wa arimasen.	Beispielsatz		
Ich habe eine Dusche.	シャワー が あります。	Shawaa ga arimasu.	Beispielsatz		
Ich möchte ein Bücherregal.	本[ほん]棚[だな] が 欲[ほ]しい です。	Hondana ga hoshii desu.	Beispielsatz		
Ich werde nächste Woche ein Bücherregal kaufen.	来[らい]週[しゅう] 本[ほん]棚[だな] を 買[か]います。	Raishuu hondana o kaimasu.	Beispielsatz		
Ich habe keine Klimaanlage.	エアコン は ありません。	Eakon wa arimasen.	Beispielsatz		
Ich habe einen teuren Staubsauger.	高[たか]い 掃[そう]除[じ]機[き] が あります。	Takai soujiki ga arimasu.	Beispielsatz		
Ich habe eine geräumige Dusche.	広[ひろ]い シャワー が あります。	Hiroi shawaa ga arimasu.	Beispielsatz		
Ich habe kein großes Bett.	大[おお]きい ベッド は ありません。	Ookii beddo wa arimasen.	Beispielsatz		
Ich habe einen billigen Tisch.	安[やす]い テーブル が あります。	Yasui teeburu ga arimasu.	Beispielsatz		
Ich habe keine Stühle.	椅[い]子[す] は ありません。	Isu wa arimasen.	Beispielsatz		
Ich habe einen neuen Futon.	新[あたら]しい 布団[ふとん] が あります。	Atarashii futon ga arimasu.	Beispielsatz		
Ich werde wahrscheinlich einen Fernseher kaufen.	多[た]分[ぶん] テレビ を 買[か]います。	Tabun terebi o kaimasu.	Beispielsatz		
Ich habe keinen Mikrowellenofen.	電[でん]子[し]レンジ は ありません。	Denshirenji wa arimasen.	Beispielsatz		
Ich werde wahrscheinlich einen neuen Staubsauger kaufen.	多[た]分[ぶん] 新[あたら]しい 掃[そう]除[じ]機[き] を 買[か]います。	Tabun atarashii soujiki o kaimasu.	Beispielsatz		
Ich habe immer noch keinen Schreibtisch.	まだ 机[つくえ] は ありません。	Mada tsukue wa arimasen.	Beispielsatz		
Ich möchte einen Kühlschrank.	冷[れい]蔵[ぞう]庫[こ] が 欲[ほ]しい です。	Reizouko ga hoshii desu.	Beispielsatz		
Wann werden Sie einen Fernseher kaufen?	いつ テレビ を 買[か]います か。	Itsu terebi o kaimasu ka.	Beispielsatz		
Diese Woche werde ich ein Bett kaufen.	今[こん]週[しゅう] ベッド を 買[か]います。	Konshuu beddo o kaimasu.	Beispielsatz		
Ich werde morgen eine Waschmaschine kaufen.	明[あ]日[した] 洗[せん]濯[たく]機[き] を 買[か]います。	Ashita sentakuki o kaimasu.	Beispielsatz		
Ich möchte eine große Waschmaschine.	大[おお]きい 洗[せん]濯[たく]機[き] が 欲[ほ]しい です。	Ookii sentakuki ga hoshii desu.	Beispielsatz		
Ich habe immer noch eine alte Waschmaschine.	まだ 古[ふる]い 洗[せん]濯[たく]機[き] が あります。	Mada furui sentakuki ga arimasu.	Beispielsatz		
Ich werde nächste Woche einen billigen Schreibtisch kaufen.	来[らい]週[しゅう] 安[やす]い 机[つくえ] を 買[か]います。	Raishiuu yasui tsukue o kaimasu.	Beispielsatz		
Diesen kleinen Schreibtisch mag ich nicht wirklich.	この 小[ちい]さい 机[つくえ] は ちょっと。	Kono chiisai tsukue wa chotto.	Beispielsatz		
gehen, fahren, reisen /höflich/	行[い]きます	ikimasu	Vokabel-Verb-5st	行[い]く	iku
Bahn, Zug /elektr./	電[でん]車[しゃ]	densha	Vokabel-Nomen		
Shibuya /Bezirk von Tokio (Hachiko, Alle-Gehen-Kreuzung)/	渋[しぶ]谷[や]	Shibuya	Vokabel-Nomen		
Bus	バス	basu	Vokabel-Katakana		
der Nächste, der Folgende	次[つぎ]	tsugi	Vokabel-Nomen		
Yokohama	横[よこ]浜[はま]	Yokohama	Vokabel-Nomen		
Akihabara /Bezirk von Tokio (Elektronikhandel)/	秋[あき]葉[は]原[ばら]	Akihabara	Vokabel-Nomen		
kommen, ankommen /höflich/	来[き]ます	kimasu	Vokabel-Verb-irr	来[く]る	kuru
gleich, in Kürze, sehr bald	もうすぐ	mousugu	Vokabel-Adverb		
Asakusa /Bezirk von Tokio (buddh. Tempel, Unterhalt.-Bezirk)/	浅[あさ]草[くさ]	Asakusa	Vokabel-Nomen		
Ueno /Bezirk von Tokio (Park, Zoo, Museen)/	上[うえ]野[の]	Ueno	Vokabel-Nomen		
(öffentl.) Park	公[こう]園[えん]	kouen	Vokabel-Nomen		
zehn Minuten	十分[じゅっぷん]	juppun	Vokabel-Expr		
schnell	速[はや]い	hayai	Vokabel-Adj-i		
dauern, erfordern, benötigen, brauchen	かかります	kakarimasu	Vokabel-Verb-5st	かかる	kakaru
ungefähr, etwa /Zeitpunkt, Menge, Zahlen – Suffix/	ぐらい	gurai	Vokabel-Suffix		
welche(r,s) /aus einer Auswahl; vor Nomen/; wie lange	どの	dono	Vokabel-Pron		
Minute	分[ふん]	fun	Vokabel-Nomen		
Zeit, Stunde	時[じ]間[かん]	jikan	Vokabel-Nomen		
lang /Zeit, Distanz/	長[なが]い	nagai	Vokabel-Adj-i		
Endstation	終[しゅう]点[てん]	shuuten	Vokabel-Nomen		
/Adjektiv-Endung vor Nomen bei na-Adj./	な	na	Vokabel-Sonst		
ruhige Stadt	静[しず]かな 都[と]市[し]	shizukana toshi	Vokabel-Expr		
hübsche Stadt	綺[き]麗[れい]な 町[まち]	kireina machi	Vokabel-Expr		
lebhafte Stadt	賑[にぎ]やかな 都[と]市[し]	nigiyakana toshi	Vokabel-Expr		
Platz, Ort	所[ところ]	tokoro	Vokabel-Nomen		
ruhiger Ort	静[しず]かな 所[ところ]	shizukana tokoro	Vokabel-Expr		
wirklich, wahrhaftig	本[ほん]当[とう]に	hontou ni	Vokabel-Adverb		
was /vor d,t,n/, wie viele …	何[なん]	nan	Vokabel-Pron		
Gebäude	建[たて]物[もの]	tatemono	Vokabel-Nomen		
das (dort drüben) /nicht für Personen/	あれ	are	Vokabel-Nomen		
Tempel /höflich/	お 寺[てら]	otera	Vokabel-Nomen		
Pizzeria	ピザ 屋[や]	pizaya	Vokabel-Nomen		
Dessert, Nachspeise	デザート	dezaato	Vokabel-Katakana		
Ramen-Restaurant	ラーメン 屋[や]	raamenya	Vokabel-Nomen		
Harajuku /Bezirk von Tokio (Mode, Jugendkultur, Cosplay)/	原[はら]宿[じゅく]	Harajuku	Vokabel-Nomen		
Berg	山[やま]	yama	Vokabel-Nomen		
(Shintou-) Schrein	神[じん]社[じゃ]	jinja	Vokabel-Nomen		
(Berg) Fuji, Fujiyama /höchster Berg Japans/	富[ふ]士[じ]山[さん]	Fuji-san	Vokabel-Nomen		
Süßigkeit(en), Snack /höflich/	お 菓[か]子[し]	okashi	Vokabel-Nomen		
Mitbringsel, Geschenk, Souvenir /höflich/	お 土産[みやげ]	omiyage	Vokabel-Nomen		
Postkarte	ポストカード	posutokaado	Vokabel-Katakana		
Nein, es ist jener Zug dort.	いいえ、 あの 電[でん]車[しゃ] です。	Iie, ano densha desu.	Beispielsatz		
Ist Shibuya in der Nähe?	渋[しぶ]谷[や] は 近[ちか]い です か。	Shibuya wa chikai desu ka.	Beispielsatz		
Der Bahnhof Tokio ist lebhaft, nicht wahr?	東[とう]京[きょう] 駅[えき] は 賑[にぎ]やか です ね。	Toukyou eki wa nigiyaka desu ne.	Beispielsatz		
Shibuya ist lebhaft, nicht wahr?	渋[しぶ]谷[や] は 賑[にぎ]やか です ね。	Shibuya wa nigiyaka desu ne.	Beispielsatz		
Ja, (er) fährt zum Flughafen.	はい、 空[くう]港[こう] に 行[い]きます。	Hai, kuukou ni ikimasu.	Beispielsatz		
Nein, dieser Zug fährt zum Bahnhof Shibuya.	いいえ、 この 電[でん]車[しゃ] は 渋[しぶ]谷[や] 駅[えき] に 行[い]きます。	Iie, kono densha wa Shibuya eki ni ikimasu.	Beispielsatz		
Der Zug dort drüben fährt nach Kyoto.	あの 電[でん]車[しゃ] は 京[きょう]都[と] に 行[い]きます。	Ano densha wa Kyouto ni ikimasu.	Beispielsatz		
Entschuldigung, fährt dieser Zug nach Osaka?	すみません、 この 電[でん]車[しゃ] は 大[おお]阪[さか] に 行[い]きます か。	Sumimasen, kono densha wa Oosaka ni ikimasu ka.	Beispielsatz		
Der Bahnhof Shibuya ist sehr groß, nicht wahr?	渋[しぶ]谷[や] 駅[えき] は とても 大[おお]きい です ね。	Shibuya eki wa totemo ookii desu ne.	Beispielsatz		
Fährt dieser Zug zum Flughafen?	この 電[でん]車[しゃ] は 空[くう]港[こう] に 行[い]きます か。	Kono densha wa kuukou ni ikimasu ka.	Beispielsatz		
Wohin fährt dieser Bus?	この バス は どこ に 行[い]きます か。	Kono basu wa doko ni ikimasu ka.	Beispielsatz		
Der/Die Nächste ist Yokohama.	次[つぎ] は 横[よこ]浜[はま] です。	Tsugi wa Yokohama desu.	Beispielsatz		
Ist Osaka der/die Nächste?	次[つぎ] は 大[おお]阪[さか] です か。	Tsugi wa Oosaka desu ka.	Beispielsatz		
Hier ist Shibuya.	ここ は 渋[しぶ]谷[や] です。	Koko wa shibuya desu.	Beispielsatz		
Nein, hier ist der Bahnhof Yokohama.	いいえ、 ここ は 横[よこ]浜[はま] 駅[えき] です。	Iie, koko wa Yokohama eki desu.	Beispielsatz		
Der Bus da drüben fährt nach Akihabara.	あの バス は 秋[あき]葉[は]原[ばら] に 行[い]きます。	Ano basu wa Akihabara ni ikimasu.	Beispielsatz		
Ist Yokohama weit entfernt?	横[よこ]浜[はま] は 遠[とお]い です か。	Yokohama wa tooi desu ka.	Beispielsatz		
Es kommt gleich.	もうすぐ です。	Mousugu desu.	Beispielsatz		
Wann kommt der Bus?	バス は いつ 来[き]ます か。	Basu wa itsu kimasu ka.	Beispielsatz		
Ist das hier Asakusa?	ここ は 浅[あさ]草[くさ] です か。	Koko wa Asakusa desu ka.	Beispielsatz		
Das Taxi wird gleich kommen.	タクシー は もうすぐ 来[き]ます。	Takushii wa mousugu kimasu.	Beispielsatz		
Der nächste Bus kommt gleich.	次[つぎ] の バス は もうすぐ 来[き]ます。	Tsugi no basu wa mousugu kimasu.	Beispielsatz		
Kommt der nächste Zug bald?	次[つぎ] の 電[でん]車[しゃ] は もうすぐ です か。	Tsugi no densha wa mousugu desu ka.	Beispielsatz		
Um wie viel Uhr lesen Sie die Zeitung?	何[なん]時[じ] に 新聞[しんぶん] を 読[よ]みます か。	Nanji ni shinbun o yomimasu ka.	Beispielsatz		
Der Ueno-Park ist nett, nicht wahr?	上[うえ]野[の] 公[こう]園[えん] は いい です ね。	Ueno kouen wa ii desu ne.	Beispielsatz		
Der Bus da drüben fährt zum Ueno-Park.	あの バス は 上[うえ]野[の] 公[こう]園[えん] に 行[い]きます。	Ano basu wa Ueno kouen ni ikimasu.	Beispielsatz		
Fährt der nächste Bus nach Kyoto?	次[つぎ] の バス は 京[きょう]都[と] に 行[い]きます か。	Tsugi no basu wa Kyouto ni ikimasu ka.	Beispielsatz		
Ist Asakusa in der Nähe?	浅[あさ]草[くさ] は 近[ちか]い です か。	Asakusa wa chikai desu ka.	Beispielsatz		
Es sind zehn Minuten.	十分[じゅっぷん] です。	Juppun desu.	Beispielsatz		
Er (sie,es) ist schnell, nicht wahr?	速[はや]い です ね。	Hayai desu ne.	Beispielsatz		
Ist das Taxi schnell?	タクシー は 速[はや]い です か。	Takushii wa hayai desu ka.	Beispielsatz		
Ja, es dauert zehn Minuten.	はい、 十分[じゅっぷん] かかります。	Hai, juppun kakarimasu.	Beispielsatz		
Nein, es wird wahrscheinlich ungefähr zehn Minuten dauern.	いいえ、 多[た]分[ぶん] 十分[じゅっぷん] ぐらい かかります。	Iie, tabun juppun gurai kakarimasu.	Beispielsatz		
Zehn Minuten sind sehr schnell, nicht wahr?	十分[じゅっぷん] は とても 速[はや]い です ね。	Juppun wa totemo hayai desu ne.	Beispielsatz		
Wie lange dauert es ungefähr?	どの ぐらい かかります か。	Dono gurai kakarimasu ka.	Beispielsatz		
Sind es zwei Stunden?	二[に] 時[じ]間[かん]ですか。	Ni jikan desu ka.	Beispielsatz		
Es sind ungefähr fünf Minuten.	五[ご]分[ふん]ぐらいです。	Go fun gurai desu.	Beispielsatz		
Ich werde morgen mit meiner älteren Schwester zu Abend essen.	明[あ]日[した] 姉[あね] と 晩[ばん]ご 飯[はん] を 食[た]べます。	Ashita ane to bangohan o tabemasu.	Beispielsatz		
Es wird wahrscheinlich fünf Minuten dauern.	多[た]分[ぶん] 五[ご] 分[ふん] かかります。	Tabun go fun kakarimasu.	Beispielsatz		
Es sind ungefähr zwanzig Minuten.	二[に] 十分[じゅっぷん]ぐらいです。	Ni juppun gurai desu.	Beispielsatz		
Acht Stunden sind eine lange Zeit, nicht wahr?	八[はち] 時[じ]間[かん] は 長[なが]い ですね。	Hachi jikan wa nagai desu ne.	Beispielsatz		
Ist hier die Endstation?	ここは 終[しゅう]点[てん] ですか。	Koko wa shuuten desu ka.	Beispielsatz		
Wird es ungefähr fünfzehn Minuten dauern?	十[じゅう]五[ご]分[ふん]ぐらい かかりますか。	Juu go fun gurai kakarimasu ka.	Beispielsatz		
Sind dreißig Minuten eine lange Zeit?	三[さん] 十分[じゅっぷん] は 長[なが]い ですか。	San juppun wa nagai desu ka.	Beispielsatz		
Ist Kyoto eine ruhige Stadt?	京[きょう]都[と]は 静[しず]かな 都[と]市[し] です か。	Kyouto wa shizukana toshi desu ka.	Beispielsatz		
Ich mag hübsche Städte.	私[わたし] は 綺[き]麗[れい]な 町[まち] が 好[す]き です。	Watashi wa kireina machi ga suki desu.	Beispielsatz		
Ich mag lebhafte Städte.	私[わたし] は 賑[にぎ]やかな 都[と]市[し] が 好[す]き です。	Watashi wa nigiyakana toshi ga suki desu.	Beispielsatz		
Tokio ist ein wirklich hübscher Ort, nicht wahr?	東[とう]京[きょう] は 本[ほん]当[とう]に 綺[き]麗[れい]な 所[ところ] です ね。	Toukyou wa hontou ni kireina tokoro desu ne.	Beispielsatz		
Diese Stadt ist ein wirklich lebhafter Ort.	この 町[まち] は 本[ほん]当[とう]に 賑[にぎ]やかな 所[ところ] です。	Kono machi wa hontou ni nigiyakana tokoro desu.	Beispielsatz		
Shibuya ist kein ruhiger Ort.	渋[しぶ]谷[や] は 静[しず]かな 所[ところ] じゃないです。	Shibuya wa shizukana tokoro janai desu.	Beispielsatz		
Der Bahnhof Shibuya ist ein sehr lebhafter Bahnhof.	渋[しぶ]谷[や] 駅[えき] は とても 賑[にぎ]やかな 駅[えき] です。	Shibuya eki wa totemo nigiyakana eki desu.	Beispielsatz		
Was ist es?	何[なん]ですか。	Nan desu ka.	Beispielsatz		
Nun, was ist dies?	ええと、これは 何[なん]ですか。	Eeto, kore wa nan desu ka.	Beispielsatz		
Ist das dort drüben ein Restaurant?	あれはレストランですか。	Are wa resutoran desu ka.	Beispielsatz		
Frau Yamaguchi, was ist das dort drüben?	山[やま]口[ぐち]さん、あれは 何[なん]ですか。	Yamaguchi-san, are wa nan desu ka.	Beispielsatz		
Ist der Bahnhof Tokio hübsch?	東[とう]京[きょう]駅[えき]は 綺[き]麗[れい]ですか。	Toukyou eki wa kirei desu ka.	Beispielsatz		
Ich mag hübsche Tempel.	私[わたし]は 綺[き]麗[れい]な お 寺[てら] が 好[す]き です。	Watashi wa kireina otera ga suki desu.	Beispielsatz		
Es ist ein wirklich hübscher Tempel, nicht wahr?	本[ほん]当[とう]に 綺[き]麗[れい]な お 寺[てら] です ね。	Hontou ni kireina otera desu ne.	Beispielsatz		
Dieses Gebäude ist auch hübsch, nicht wahr?	この 建[たて]物[もの] も 綺[き]麗[れい] です ね。	Kono tatemono mo kirei desu ne.	Beispielsatz		
Wo ist eine Pizzeria?	ピザ 屋[や]はどこですか。	Pizaya wa doko desu ka.	Beispielsatz		
Ich gehe immer in diese Pizzeria.	いつもこのピザ 屋[や]に 行[い]きます。	Itsumo kono pizaya ni ikimasu.	Beispielsatz		
Ich kaufe dieses Dessert.	このデザートを 買[か]います。	Kono dezaato o kaimasu.	Beispielsatz		
Dies ist eine berühmte Stadt.	ここは 有[ゆう]名[めい]な 町[まち]です。	Koko wa yuumeina machi desu.	Beispielsatz		
Ist dies ein berühmtes Dessert?	これは 有[ゆう]名[めい]な デザートですか。	Kore wa yuumeina dezaato desu ka.	Beispielsatz		
Dieses Ramen-Restaurant ist lebhaft.	この ラーメン 屋[や]は 賑[にぎ]やか です。	Kono raamenya wa nigiyaka desu.	Beispielsatz		
Harajuku ist ein lebhafter Ort.	原[はら]宿[じゅく]は 賑[にぎ]やかな 所[ところ]です。	Harajuku wa nigiyakana tokoro desu.	Beispielsatz		
Das dort ist ein berühmtes Gebäude!	それ は 有[ゆう]名[めい]な 建[たて]物[もの]です！	Sore wa yuumeina tatemono desu!	Beispielsatz		
Was ist das für eine Blume?	この 花[はな]は 何[なん]ですか。	Kono hana wa nan desu ka.	Beispielsatz		
Ist dies ein berühmter Schrein?	これは 有[ゆう]名[めい]な 神[じん]社[じゃ]ですか。	Kore wa yuumeina jinja desu ka.	Beispielsatz		
Der Berg dort drüben ist auch hoch.	あの 山[やま]も 高[たか]いです。	Ano yama mo takai desu.	Beispielsatz		
Der Berg Fuji ist berühmt.	富[ふ]士[じ]山[さん]は 有[ゆう]名[めい]です。	Fuji-san wa yuumei desu.	Beispielsatz		
Ich kaufe Süßigkeiten.	私[わたし]は お 菓[か]子[し]を 買[か]います。	Watashi wa okashi o kaimasu.	Beispielsatz		
Was ist dies für eine Art von Snack?	これはどんな お 菓[か]子[し]ですか。	Kore wa donna okashi desu ka.	Beispielsatz		
Das dort drüben ist ein schöner Berg, nicht wahr?	あれは 素敵[すてき]な 山[やま]ですね。	Are wa sutekina yama desu ne.	Beispielsatz		
Kaufst du das Souvenir?	その お 土産[みやげ]を 買[か]いますか。	Sono omiyage o kaimasu ka.	Beispielsatz		
Oh, dies ist eine wunderbare Nachspeise, nicht wahr?	あ、これは 素敵[すてき]な デザートですね。	A, kore wa sutekina dezaato desu ne.	Beispielsatz		
Es ist ein schönes Souvenir, nicht wahr?	素敵[すてき]な お 土産[みやげ]ですね。	Sutekina omiyage desu ne.	Beispielsatz		
Wie wäre es mit dieser wunderschönen Blume?	この 綺[き]麗[れい]な 花[はな]はどうですか。	Kono kireina hana wa dou desu ka.	Beispielsatz		
Diese Postkarte kostet 500 Yen.	このポストカードは 五[ご]百[ひゃく]円[えん]です。	Kono posutokaado wa go hyaku en desu.	Beispielsatz		
Ich möchte eine hübsche Postkarte.	綺[き]麗[れい]な ポストカード が 欲[ほ]しい です。	Kireina posutokaado ga hoshii desu.	Beispielsatz		
sitzen /höflich/	座[すわ]ります	suwarimasu	Vokabel-Verb-5st	座[すわ]る	suwaru
gefährlich, unsicher, riskant	危[あぶ]ない	abunai	Vokabel-Adj-i		
nicht in Ordnung, krank, unwohl	具[ぐ]合[あい]が 悪[わる]い	guai ga warui	Vokabel-Adj-i		
OK, in Ordnung, sicher	大[だい]丈[じょう]夫[ぶ]	daijoubu	Vokabel-Adj-na		
Krankenhaus, Klinik, Hospital	病[びょう]院[いん]	byouin	Vokabel-Nomen		
Polizei; Polizist	警[けい]察[さつ]	keisatsu	Vokabel-Nomen		
Bitte, Wunsch /höflich/	お 願[ねが]い	onegai	Vokabel-Nomen		
bitte /höflich/	お 願[ねが]いします	onegai shimasu	Vokabel-Expr		
Krankenwagen	救[きゅう]急[きゅう]車[しゃ]	kyuukyuusha	Vokabel-Nomen		
null	〇[ぜろ]	zero	Vokabel-Num		
neun	九[きゅう]	kyuu	Vokabel-Num		
wie alt?	何[なん]歳[さい]	nan sai	Vokabel-Pron		
Nummer	番[ばん]号[ごう]	bangou	Vokabel-Nomen		
Allergie	アレルギー	arerugii	Vokabel-Katakana		
/Höflichkeits-Präfix/	ご	go	Vokabel-Sonst		
Familie /höflich/	ご 家[か]族[ぞく]	gokazoku	Vokabel-Nomen		
Nähe, nahe bei; fast, beinahe,nahezu	近[ちか]く	chikaku	Vokabel-Nomen		
Eltern, Vater und Mutter	両[りょう]親[しん]	ryoushin	Vokabel-Nomen		
Eltern (anderer Personen) /höflich/	ご 両[りょう]親[しん]	goryoushin	Vokabel-Nomen		
ausruhen, frei haben, nicht arbeiten /höflich/	休[やす]みます	yasumimasu	Vokabel-Verb-5st	休[やす]む	yasumu
heute	今日[きょう]	kyou	Vokabel-Adverb		
Arznei, Medizin, Medikament	薬[くすり]	kusuri	Vokabel-Nomen		
ordentlich, gründlich; dafür sorgen, dass…	ちゃんと	chanto	Vokabel-Adverb		
Frühling	春[はる]	haru	Vokabel-Nomen		
Regen	雨[あめ]	ame	Vokabel-Nomen		
Wetter	天[てん]気[き]	tenki	Vokabel-Nomen		
warm	暖[あたた]かい	atatakai	Vokabel-Adj-i		
Tag, Sonne	日[ひ]	hi	Vokabel-Nomen		
Meer, See	海[うみ]	umi	Vokabel-Nomen		
Sommer	夏[なつ]	natsu	Vokabel-Nomen		
sonniges Wetter, heiteres Wetter; sonnig	晴[は]れ	hare	Vokabel-Nomen		
Pause, Urlaub, Ferien	休[やす]み	yasumi	Vokabel-Nomen		
Juli	七月[しちがつ]	shichigatsu	Vokabel-Nomen		
Schwimmbad, Schwimmbecken, Pool	プール	puuru	Vokabel-Nomen		
heiß /Wetter/	暑[あつ]い	atsui	Vokabel-Adj-i		
Feuerwerk	花[はな]火[び]	hanabi	Vokabel-Nomen		
September	九月[くがつ]	kugatsu	Vokabel-Nomen		
Herbst	秋[あき]	aki	Vokabel-Nomen		
wolkiges, bewölktes Wetter	曇[くも]り	kumori	Vokabel-Nomen		
heute Abend	今[こん]晩[ばん]	konban	Vokabel-Nomen		
Konzert	コンサート	konsaato	Vokabel-Katakana		
kalt	寒[さむ]い	samui	Vokabel-Adj-i		
Schnee, Schneefall	雪[ゆき]	yuki	Vokabel-Nomen		
Winter	冬[ふゆ]	fuyu	Vokabel-Nomen		
Kakao	ココア	kokoa	Vokabel-Katakana		
heiße Quelle, Onsen	温[おん]泉[せん]	onsen	Vokabel-Nomen		
Ich werde mich auch ein wenig hinsetzen.	私[わたし]も 少[すこ]し 座[すわ]ります。	Watashi mo sukoshi suwarimasu.	Beispielsatz		
Es ist gefährlich.	危[あぶ]ないです。	Abunai desu.	Beispielsatz		
Ich fühle mich etwas krank.	少[すこ]し 具[ぐ]合[あい]が 悪[わる]い です。	Sukoshi guai ga warui desu.	Beispielsatz		
Entschuldigung, geht es Ihnen nicht gut?	すみません、 具[ぐ]合[あい]が 悪[わる]い ですか。	Sumimasen, guai ga warui desu ka.	Beispielsatz		
Nein, es ist OK!	いいえ、 大[だい]丈[じょう]夫[ぶ] です！	Iie, daijoubu desu!	Beispielsatz		
Ich bin nicht OK.	大[だい]丈[じょう]夫[ぶ]じゃないです。	Daijoubu janai desu.	Beispielsatz		
Ich gehe zum Krankenhaus.	病[びょう]院[いん]に 行[い]きます。	Byouin ni ikimasu.	Beispielsatz		
Ist es die Polizei?	警[けい]察[さつ]ですか。	Keisatsu desu ka.	Beispielsatz		
Ist das Krankenhaus teuer?	その 病[びょう]院[いん]は 高[たか]い ですか。	Sono byouin wa takai desu ka.	Beispielsatz		
Ich möchte bitte ein Taxi.	タクシー を お 願[ねが]いします。	Takushii o onegai shimasu.	Beispielsatz		
Bitte (holen Sie) die Polizei.	警[けい]察[さつ]を お 願[ねが]いします。	Keisatsu o onegai shimasu.	Beispielsatz		
Entschuldigung, bitte (holen Sie) einen Arzt.	すみません、 医[い]者[しゃ]を お 願[ねが]いします。	Sumimasen, isha o onegai shimasu.	Beispielsatz		
